LAT;;;;;6.93548;6.93548;6.93548;6.93548;6.93548;6.93548;6.93548;6.93548
LON;;;;;79.8487;79.8487;79.8487;79.8487;79.8487;79.8487;79.8487;79.8487
ASL;;;;;1.00000;1.00000;1.00000;1.00000;1.00000;1.00000;1.00000;1.00000
CITY;;;;;Colombo;Colombo;Colombo;Colombo;Colombo;Colombo;Colombo;Colombo
DOMAIN;;;;;NEMSIN;NEMSIN;NEMSIN;NEMSIN;NEMSIN;NEMSIN;NEMSIN;NEMSIN
LEVEL;;;;;2 m above gnd;2 m above gnd;sfc;sfc;sfc;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Total Precipitation (high resolution);Total Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction
UNIT;;;;;°C;%;mm;%;min;W/m2;km/h;°
AGGREGATION;;;;;;;;;;;;
UTC_OFFSET;;;;;5;5;5;5;5;5;5;5

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Total Cloud Cover  [sfc];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2020;02;27;19;00;28.53;68.00;0.00;0.90;0.00;0.00;2.28;71.57
2020;02;27;20;00;27.22;74.00;0.00;0.30;0.00;0.00;8.76;99.46
2020;02;27;21;00;26.14;83.00;0.00;0.00;0.00;0.00;12.60;90.00
2020;02;27;22;00;25.09;86.00;0.00;0.00;0.00;0.00;11.62;73.81
2020;02;27;23;00;24.12;88.00;0.00;0.00;0.00;0.00;9.89;56.89
2020;02;28;00;00;22.98;90.00;0.00;0.00;0.00;0.00;9.69;48.01
2020;02;28;01;00;21.78;92.00;0.00;0.00;0.00;0.00;9.73;51.01
2020;02;28;02;00;20.76;93.00;0.00;0.00;0.00;0.00;10.32;60.75
2020;02;28;03;00;20.14;93.00;0.00;0.00;0.00;0.00;10.79;64.29
2020;02;28;04;00;19.94;92.00;0.00;2.70;0.00;0.00;11.44;65.85
2020;02;28;05;00;19.93;91.00;0.00;4.20;0.00;0.00;11.12;60.95
2020;02;28;06;00;20.12;88.00;0.00;3.30;6.98;0.00;10.46;63.43
2020;02;28;07;00;23.34;74.00;0.00;1.20;57.89;127.27;8.22;61.19
2020;02;28;08;00;27.94;59.00;0.00;0.00;59.23;366.68;7.79;56.31
2020;02;28;09;00;30.22;54.00;0.00;0.00;60.00;579.39;5.86;42.51
2020;02;28;10;00;31.86;49.00;0.00;0.00;60.00;764.51;5.59;14.93
2020;02;28;11;00;33.51;42.00;0.00;0.00;60.00;895.34;6.49;3.18
2020;02;28;12;00;34.67;38.00;0.00;0.00;60.00;953.19;6.52;353.66
2020;02;28;13;00;34.96;39.00;0.00;0.60;60.00;923.82;7.70;322.59
2020;02;28;14;00;33.71;47.00;0.00;0.30;59.62;849.95;9.03;293.50
2020;02;28;15;00;31.79;57.00;0.00;0.00;59.81;719.12;10.45;271.97
2020;02;28;16;00;30.47;64.00;0.00;0.00;60.00;535.78;9.11;251.57
2020;02;28;17;00;29.26;71.00;0.00;0.00;60.00;307.94;6.49;213.69
2020;02;28;18;00;27.79;77.00;0.00;0.00;53.79;72.98;1.80;126.87
2020;02;28;19;00;27.13;79.00;0.00;0.00;0.00;0.00;6.70;143.75
2020;02;28;20;00;26.11;84.00;0.00;0.00;0.00;0.00;8.59;123.02
2020;02;28;21;00;25.24;87.00;0.00;0.00;0.00;0.00;10.54;97.85
2020;02;28;22;00;24.55;89.00;0.00;0.30;0.00;0.00;10.95;80.54
2020;02;28;23;00;24.00;89.00;0.00;0.30;0.00;0.00;10.16;67.07
2020;02;29;00;00;23.44;89.00;0.00;10.00;0.00;0.00;9.89;56.89
2020;02;29;01;00;22.42;91.00;0.00;10.00;0.00;0.00;10.59;54.69
2020;02;29;02;00;21.45;92.00;0.00;2.70;0.00;0.00;10.81;60.02
2020;02;29;03;00;20.70;92.00;0.00;3.00;0.00;0.00;11.61;60.26
2020;02;29;04;00;20.19;92.00;0.00;1.80;0.00;0.00;11.79;58.74
2020;02;29;05;00;19.88;92.00;0.00;1.20;0.00;0.00;11.61;60.26
2020;02;29;06;00;20.19;89.00;0.00;0.90;7.58;0.00;11.59;53.84
2020;02;29;07;00;23.53;76.00;0.00;0.60;59.43;121.04;10.63;61.70
2020;02;29;08;00;28.07;62.00;0.00;0.00;59.62;357.78;10.31;77.91
2020;02;29;09;00;30.29;60.00;0.00;0.00;60.00;575.83;7.86;105.95
2020;02;29;10;00;31.88;55.00;0.00;10.00;60.00;727.13;5.40;143.13
2020;02;29;11;00;33.01;51.00;0.00;10.00;53.62;833.04;6.73;195.52
2020;02;29;12;00;32.97;52.00;0.00;10.00;53.62;888.22;11.25;230.19
2020;02;29;13;00;32.09;56.00;0.00;10.00;53.62;876.65;15.78;242.85
2020;02;29;14;00;31.33;58.00;0.00;10.00;53.62;807.23;17.58;247.11
2020;02;29;15;00;30.60;61.00;0.00;10.00;53.62;679.96;16.52;253.54
2020;02;29;16;00;29.80;64.00;0.00;0.00;53.62;508.19;14.26;259.82
2020;02;29;17;00;28.68;68.00;0.00;0.00;60.00;307.05;11.25;262.65
2020;02;29;18;00;26.90;74.00;0.00;5.00;53.79;72.98;9.57;289.80
2020;02;29;19;00;26.64;75.00;0.00;50.00;0.00;0.00;6.16;276.71
2020;02;29;20;00;26.55;75.00;0.00;13.00;0.00;0.00;3.83;221.19
2020;02;29;21;00;26.30;76.00;0.00;2.70;0.00;0.00;6.99;168.11
2020;02;29;22;00;25.75;78.00;0.00;6.60;0.00;0.00;8.89;148.24
2020;02;29;23;00;24.87;82.00;0.00;0.00;0.00;0.00;8.71;128.29
2020;03;01;00;00;23.83;88.00;0.00;0.00;0.00;0.00;8.23;113.20
2020;03;01;01;00;23.08;91.00;0.00;0.00;0.00;0.00;7.59;95.44
2020;03;01;02;00;22.53;91.00;0.00;0.00;0.00;0.00;7.64;81.87
2020;03;01;03;00;22.10;90.00;0.00;0.00;0.00;0.00;7.63;70.71
2020;03;01;04;00;21.70;89.00;0.00;0.00;0.00;0.00;8.22;61.19
2020;03;01;05;00;21.13;88.00;0.00;0.00;0.00;0.00;8.44;50.19
2020;03;01;06;00;20.76;87.00;0.00;0.00;8.06;0.00;7.93;50.53
2020;03;01;07;00;23.65;77.00;0.00;0.00;60.00;115.70;7.10;59.53
2020;03;01;08;00;27.83;64.00;0.00;0.00;60.00;356.89;7.29;32.91
2020;03;01;09;00;29.84;58.00;0.00;0.00;60.00;578.50;8.64;360.00
2020;03;01;10;00;31.29;53.00;0.00;0.00;60.00;761.84;10.59;342.18
2020;03;01;11;00;32.48;48.00;0.00;0.00;60.00;890.89;11.27;333.43
2020;03;01;12;00;33.18;46.00;0.00;0.00;60.00;951.41;11.99;318.65
2020;03;01;13;00;32.46;52.00;0.00;10.00;60.00;921.15;13.85;294.57
